drug_name,medical_condition,side_effects,generic_name,brand_names
hydroxyzine,Allergies,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, hydroxyzine may cause a severe skin reaction. Stop taking this medicine and call your doctor right away if you have sudden skin redness or a rash that spreads and causes white or yellow pustules, blistering, or peeling. Stop using hydroxyzine and call your doctor at once if you have: fast or pounding heartbeats; headache with chest pain; severe dizziness, fainting; or a seizure (convulsions). Side effects such as drowsiness and confusion may be more likely in older adults. Common hydroxyzine side effects may include: drowsiness; headache; dry mouth; or skin rash.",hydroxyzine,"Vistaril, Atarax, Hyzine"
levocetirizine,Allergies,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Levocetirizine may cause serious side effects. Stop using levocetirizine and call your doctor at once if you have: worsening allergy or urticaria symptoms; painful or difficult urination; little or no urination; a light-headed feeling, like you might pass out; fever; or signs of an ear infection--ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child. Common side effects of levocetirizine may include: drowsiness, tiredness; sinus pain; ear infection; cough; fever; nosebleed; vomiting , diarrhea , constipation ; dry mouth; or weight gain.",levocetirizine,Xyzal
loratadine,Allergies,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: fast or uneven heart rate; severe headache; or a light-headed feeling, like you might pass out; Common loratadine side effects may include: headache; feeling tired or drowsy; stomach pain, vomiting; dry mouth; or feeling nervous or hyperactive.",loratadine,"Alavert, Claritin, ohm Allergy Relief, Tavist ND, Wal-itin"
corticotropin,Allergies,"hives ; nausea , feeling light-headed; difficulty breathing; swelling of your face, lips, tongue, or throat. Corticotropin may cause serious side effects. Call your doctor at once if you have: fever, chills, sore throat , skin warmth or redness, or other signs of an infection; unusual changes in mood or behavior; blurred vision, tunnel vision, eye pain , or seeing halos around lights; a seizure; decreased or increased adrenal gland hormones --changes in weight or appetite, tiredness, muscle weakness, skin discoloration, thinning skin, increased body hair, menstrual changes, loss of appetite, stomach pain; high blood pressure--severe headache , blurred vision, pounding in your neck or ears; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; signs of eye infection--swelling, redness, severe discomfort, crusting or drainage; or signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds. Be sure your family, caregivers, and close friends also know how to help you watch for these side effects. Corticotropin can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using corticotropin. Common side effects of corticotropin may include: increased blood pressure; thinning skin, increased sweating; fluid retention (swelling in your hands or feet, puffiness in your face); mood changes, irritability; increased appetite; or weight gain.",corticotropin,"Acthar, ACTH Gel, ACTH-80, ACTH-40 HP"
dexbrompheniramine,Allergies,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Dexbrompheniramine may cause serious side effects. Stop using dexbrompheniramine and call your doctor at once if you have: fast or uneven heart rate; mood changes; tremor, seizure (convulsions); easy bruising or bleeding, unusual weakness; feeling short of breath; or little or no urination. Common side effects of dexbrompheniramine may include: drowsiness; dry mouth, nose, or throat; constipation ; blurred vision; or feeling restless or excited (especially in children).",dexbrompheniramine,Ala-Hist IR
dexbrompheniramine / phenylephrine,Allergies,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: fast or irregular heartbeats; confusion, hallucinations; a seizure; ringing in your ears; or little or no urination. Common side effects of dexbrompheniramine and phenylephrine may include: headache, dizziness , drowsiness; blurred vision, double vision; dry mouth, nose, or throat; constipation , upset stomach ; or trouble sleeping.",dexbrompheniramine and phenylephrine,Ala-Hist PE
aspirin,Angina,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Aspirin may cause serious side effects. Stop using this medicine and call your doctor at once if you have: ringing in your ears, confusion, hallucinations, rapid breathing, seizure (convulsions); severe nausea, vomiting, or stomach pain; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; fever lasting longer than 3 days; or swelling, or pain lasting longer than 10 days. Common side effects of aspirin may include: upset stomach; heartburn; drowsiness; or mild headache.",aspirin (oral),"Arthritis Pain, Aspi-Cor, Aspir-Low, Bufferin, Durlaza, Ecotrin, Ecpirin, Miniprin, Vazalore."
nitroglycerin,Angina,"hives , sweating, pale skin; nausea , vomiting; feeling weak or light-headed; difficult breathing; swelling of your face, lips, tongue, or throat. Nitroglycerin may cause serious side effects. Call your doctor at once if you have: severe or throbbing headaches that do not become less severe with continued use of nitroglycerin; pounding heartbeats or fluttering in your chest; slow heart rate ; a light-headed feeling, like you might pass out; blurred vision or dry mouth; or heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. Nitroglycerin can cause severe headaches that should become less severe as you continue to use the medicine. Common side effects of nitroglycerin may include: flushing (sudden warmth, redness, or tingly feeling); feeling light-headed, fainting; headache, dizziness; or numbness, tingling, burning pain.",nitroglycerin (oral/sublingual),"GoNitro, Nitromist, Nitrostat, Nitro-Time"
metoprolol,Angina,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Metoprolol may cause serious side effects. Call your doctor at once if you have: very slow heartbeats; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; or cold feeling in your hands and feet. Common side effects of metoprolol may include: dizziness ; tired feeling; depression ; confusion; memory problems; nightmares ; trouble sleeping; diarrhea; mild itching or rash.",metoprolol,"Kapspargo Sprinkle, Lopressor, Toprol-XL"
isosorbide mononitrate,Angina,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; worsening angina pain; fast or slow heart rate; or pounding heartbeats or fluttering in your chest. Isosorbide mononitrate can cause severe headaches. These headaches may gradually become less severe as you continue to use nitroglycerin. Do not stop taking this medicine to avoid headaches. Ask your doctor before using any headache pain medication. Common isosorbide mononitrate side effects may include: headache; dizziness upon standing; or flushing (warmth, redness, or tingly feeling).",isosorbide mononitrate,"Imdur, Monoket, ISMO"
